a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,niveau_hierarchique_poste,heure_supplementaires,augmentation_salaire_precedente,satisfaction_globale,note_evaluation
1,0,1,23,2,Infra & Cloud,Occasionnel,0,35,0,5916,Marié(e),Consulting,Tech Lead,3,1,2,1,13,2.25,2.5
0,3,3,7,3,Transformation Digitale,Aucun,2,43,0,2089,Divorcé(e),Consulting,Assistant de Direction,4,5,1,0,14,4.0,3.5
0,1,1,2,2,Transformation Digitale,Aucun,11,45,0,16792,Marié(e),Consulting,Senior Manager,9,20,4,0,23,3.0,3.0
0,1,3,21,3,Infra & Cloud,Occasionnel,1,37,0,3564,Marié(e),Consulting,Assistant de Direction,1,8,1,1,12,1.5,3.5
0,0,5,2,3,Transformation Digitale,Frequent,1,35,1,4425,Célibataire,Consulting,Consultant,5,6,2,0,11,2.75,3.0
0,1,5,21,2,Transformation Digitale,Aucun,0,42,1,5265,Divorcé(e),Consulting,Tech Lead,2,5,2,0,16,2.75,3.0
0,0,3,2,4,Infra & Cloud,Occasionnel,0,38,0,6553,Marié(e),Consulting,Tech Lead,9,1,2,0,14,3.0,3.0
0,1,3,29,3,Entrepreunariat,Occasionnel,1,38,0,6261,Marié(e),Consulting,Tech Lead,3,7,2,0,18,2.5,3.0
0,1,1,1,1,Entrepreunariat,Frequent,2,27,0,4298,Marié(e),Consulting,Tech Lead,5,2,2,0,19,2.5,2.5
0,2,0,18,4,Infra & Cloud,Aucun,1,49,0,6804,Divorcé(e),Consulting,Tech Lead,1,7,2,1,15,3.0,3.0
0,1,4,10,4,Transformation Digitale,Frequent,2,34,0,3815,Divorcé(e),Consulting,Assistant de Direction,1,5,1,1,17,3.75,3.0
0,1,2,19,2,Transformation Digitale,Occasionnel,3,40,0,2741,Marié(e),Consulting,Consultant,8,7,2,1,15,3.5,3.0
1,0,2,29,1,Transformation Digitale,Occasionnel,0,38,0,6673,Marié(e),Consulting,Manager,7,1,2,1,19,2.0,3.0
1,3,3,27,3,Marketing,Occasionnel,1,29,1,7639,Marié(e),Commercial,Cadre Commercial,1,10,3,0,22,3.0,3.5
0,1,2,5,3,Infra & Cloud,Occasionnel,2,22,0,2328,Divorcé(e),Consulting,Assistant de Direction,1,4,1,1,16,2.25,3.5
0,0,2,18,1,Transformation Digitale,Frequent,1,36,1,2153,Célibataire,Consulting,Consultant,1,8,1,0,13,2.5,3.0
0,1,5,9,5,Infra & Cloud,Aucun,0,40,0,4876,Marié(e),Consulting,Manager,9,3,2,0,14,3.25,2.5
0,1,3,1,4,Transformation Digitale,Occasionnel,0,46,0,9396,Divorcé(e),Consulting,Manager,7,4,3,0,16,2.75,3.0
1,0,2,4,4,Transformation Digitale,Occasionnel,9,32,0,10400,Marié(e),Commercial,Cadre Commercial,1,14,3,0,11,3.25,2.0
0,0,2,1,1,Infra & Cloud,Aucun,5,30,0,8474,Célibataire,Consulting,Tech Lead,1,11,3,0,22,3.0,3.0
0,0,2,20,3,Infra & Cloud,Frequent,0,27,1,9981,Célibataire,Commercial,Cadre Commercial,1,7,2,0,14,3.5,3.0
0,2,5,8,4,Infra & Cloud,Occasionnel,4,51,0,12490,Marié(e),Consulting,Directeur Technique,5,10,3,0,16,2.25,2.5
1,0,5,3,3,Entrepreunariat,Occasionnel,0,30,1,2657,Célibataire,Consulting,Assistant de Direction,5,5,1,1,11,2.75,3.0
0,0,3,6,3,Infra & Cloud,Occasionnel,0,41,1,13591,Célibataire,Commercial,Senior Manager,3,1,3,1,18,3.5,3.0
1,0,5,26,4,Marketing,Frequent,0,30,1,6696,Célibataire,Commercial,Cadre Commercial,5,6,2,0,15,2.25,2.5
1,0,1,1,3,Entrepreunariat,Occasionnel,1,29,0,2058,Célibataire,Consulting,Assistant de Direction,0,6,1,0,14,3.0,3.0
0,0,2,6,3,Transformation Digitale,Aucun,12,45,1,8865,Célibataire,Commercial,Cadre Commercial,6,19,3,0,12,3.75,2.5
0,1,4,3,3,Marketing,Occasionnel,0,54,1,5940,Marié(e),Commercial,Cadre Commercial,2,6,2,0,14,3.0,3.0
0,0,3,5,2,Infra & Cloud,Occasionnel,3,36,0,5914,Célibataire,Consulting,Consultant,8,13,2,0,16,3.5,3.0
0,0,3,4,4,Transformation Digitale,Occasionnel,1,33,1,2622,Marié(e),Consulting,Assistant de Direction,6,3,1,0,21,3.0,3.0
0,3,1,11,3,Autre,Frequent,0,37,0,12185,Divorcé(e),Consulting,Directeur Technique,1,10,3,1,14,3.0,3.0
0,2,6,3,3,Infra & Cloud,Occasionnel,5,38,0,10609,Divorcé(e),Commercial,Cadre Commercial,0,16,3,0,12,2.25,3.0
0,1,2,1,4,Transformation Digitale,Aucun,1,31,0,4345,Marié(e),Consulting,Tech Lead,0,5,2,0,12,3.25,2.0
0,1,6,3,3,Infra & Cloud,Occasionnel,0,59,0,2177,Marié(e),Consulting,Assistant de Direction,3,1,1,0,17,2.75,2.5
0,1,2,4,4,Marketing,Frequent,5,37,0,2793,Divorcé(e),Commercial,Représentant Commercial,4,9,1,0,17,2.75,3.0
0,1,5,1,1,Transformation Digitale,Frequent,4,29,1,7918,Marié(e),Commercial,Cadre Commercial,1,11,3,0,14,3.25,3.0
0,0,3,1,3,Marketing,Frequent,0,35,1,8789,Célibataire,Commercial,Cadre Commercial,1,10,3,0,14,2.75,3.0
1,0,3,18,1,Transformation Digitale,Occasionnel,0,29,0,2389,Célibataire,Consulting,Assistant de Direction,1,4,1,1,13,3.0,2.5
0,0,3,2,3,Infra & Cloud,Occasionnel,2,52,1,3212,Célibataire,Consulting,Consultant,7,2,1,0,15,2.75,2.5
0,0,3,4,2,Entrepreunariat,Occasionnel,11,42,0,19232,Marié(e),Consulting,Senior Manager,1,22,5,0,11,3.5,3.0
0,0,2,6,2,Transformation Digitale,Occasionnel,2,59,0,2267,Marié(e),Ressources Humaines,Ressources Humaines,8,2,1,0,17,2.75,3.0
0,1,3,1,4,Transformation Digitale,Occasionnel,0,50,1,19517,Divorcé(e),Commercial,Senior Manager,3,7,5,0,11,3.25,3.0
1,1,2,14,3,Transformation Digitale,Occasionnel,0,33,0,2436,Marié(e),Consulting,Consultant,5,5,1,1,13,2.75,3.0
0,1,3,16,3,Marketing,Occasionnel,1,43,1,16064,Marié(e),Commercial,Senior Manager,5,17,4,1,22,3.5,3.5
1,0,3,2,2,Infra & Cloud,Occasionnel,1,33,1,2707,Marié(e),Consulting,Consultant,7,9,1,0,20,1.75,3.5
0,0,2,2,4,Infra & Cloud,Aucun,15,52,0,19068,Célibataire,Commercial,Senior Manager,1,33,5,1,18,3.0,2.5
0,1,5,4,2,Infra & Cloud,Occasionnel,1,32,1,3931,Marié(e),Commercial,Représentant Commercial,2,4,1,0,11,2.25,3.0
1,0,2,1,3,Infra & Cloud,Occasionnel,1,32,0,3730,Célibataire,Consulting,Consultant,0,3,1,1,14,3.0,2.5
0,3,1,1,4,Transformation Digitale,Occasionnel,1,39,1,2232,Divorcé(e),Consulting,Consultant,7,3,1,0,14,3.0,3.0
0,0,2,26,4,Marketing,Aucun,2,32,0,4465,Marié(e),Commercial,Cadre Commercial,0,3,2,0,18,2.75,3.0
0,2,2,19,2,Infra & Cloud,Occasionnel,0,41,0,3072,Divorcé(e),Consulting,Assistant de Direction,2,1,2,0,16,1.75,3.0
0,2,3,24,2,Entrepreunariat,Occasionnel,4,40,0,3319,Divorcé(e),Consulting,Assistant de Direction,1,9,2,0,17,2.25,3.0
0,1,2,1,3,Autre,Occasionnel,1,45,0,19202,Marié(e),Consulting,Senior Manager,0,24,5,0,11,3.25,3.5
0,1,3,3,4,Transformation Digitale,Frequent,2,31,0,13675,Divorcé(e),Consulting,Directeur Technique,9,2,3,0,12,2.25,3.0
0,1,2,5,4,Infra & Cloud,Occasionnel,0,33,1,2911,Marié(e),Consulting,Assistant de Direction,1,2,1,0,13,3.0,2.5
0,1,3,2,4,Infra & Cloud,Occasionnel,5,34,0,5957,Marié(e),Consulting,Tech Lead,6,11,2,0,13,2.5,2.5
0,1,2,1,2,Transformation Digitale,Occasionnel,0,37,1,3920,Marié(e),Consulting,Assistant de Direction,2,3,1,0,14,1.75,2.5
0,1,1,7,4,Infra & Cloud,Frequent,0,45,0,6434,Marié(e),Consulting,Tech Lead,4,3,2,0,17,2.75,3.5
1,2,5,10,3,Transformation Digitale,Frequent,0,37,0,10048,Divorcé(e),Consulting,Tech Lead,6,1,3,0,11,2.25,3.0
0,0,1,2,4,Entrepreunariat,Frequent,11,39,1,10938,Célibataire,Consulting,Manager,0,19,3,0,25,3.25,3.5
0,0,1,15,3,Infra & Cloud,Occasionnel,1,29,0,2340,Célibataire,Consulting,Assistant de Direction,1,6,1,0,19,2.75,3.0
0,0,1,17,2,Infra & Cloud,Occasionnel,0,42,1,6545,Célibataire,Consulting,Assistant de Direction,3,3,2,1,13,2.75,3.5
0,1,2,20,2,Marketing,Occasionnel,0,29,0,6931,Divorcé(e),Commercial,Cadre Commercial,2,3,2,0,14,3.75,3.0
0,2,3,1,3,Infra & Cloud,Occasionnel,1,25,1,4898,Marié(e),Consulting,Tech Lead,0,4,2,0,12,2.75,3.0
0,1,4,2,3,Transformation Digitale,Occasionnel,7,42,1,2593,Divorcé(e),Consulting,Consultant,0,9,1,1,11,2.75,2.5
0,1,5,2,2,Transformation Digitale,Occasionnel,3,40,0,19436,Divorcé(e),Consulting,Directeur Technique,0,21,5,0,19,2.75,3.0
0,0,0,1,3,Infra & Cloud,Occasionnel,0,51,0,2723,Marié(e),Consulting,Assistant de Direction,1,1,1,0,11,2.75,3.0
1,0,2,29,2,Transformation Digitale,Frequent,1,31,0,3479,Célibataire,Consulting,Consultant,0,5,1,0,11,2.75,2.5
0,0,3,7,3,Infra & Cloud,Frequent,0,32,0,2794,Marié(e),Consulting,Consultant,1,5,1,0,20,2.0,4.0
0,1,0,2,2,Infra & Cloud,Aucun,7,38,0,5249,Marié(e),Commercial,Cadre Commercial,3,8,2,0,18,3.75,2.5
0,0,5,2,1,Entrepreunariat,Occasionnel,0,32,0,2176,Célibataire,Consulting,Consultant,4,6,2,0,13,3.0,2.5
0,1,2,2,3,Entrepreunariat,Occasionnel,7,46,1,16872,Marié(e),Commercial,Senior Manager,3,7,4,1,12,2.25,2.0
1,0,5,2,4,Infra & Cloud,Occasionnel,0,28,0,3485,Célibataire,Consulting,Consultant,2,0,1,0,11,2.0,3.0
0,2,2,2,3,Transformation Digitale,Occasionnel,0,29,0,6644,Marié(e),Commercial,Cadre Commercial,2,0,2,0,19,2.0,2.5
0,1,2,23,3,Transformation Digitale,Occasionnel,7,31,0,5582,Marié(e),Consulting,Manager,0,9,2,0,21,2.75,3.0
0,2,2,5,2,Infra & Cloud,Aucun,1,25,0,4000,Divorcé(e),Consulting,Manager,1,6,2,0,12,2.5,3.5
0,0,2,20,2,Transformation Digitale,Occasionnel,4,45,0,13496,Marié(e),Consulting,Manager,0,20,4,1,14,3.0,3.0
0,1,4,6,3,Infra & Cloud,Occasionnel,10,36,0,3210,Marié(e),Consulting,Consultant,0,15,1,0,11,3.5,3.0
0,0,2,1,3,Transformation Digitale,Occasionnel,4,55,0,19045,Célibataire,Consulting,Senior Manager,0,36,5,1,14,2.75,3.0
1,1,2,29,4,Infra & Cloud,Aucun,9,47,0,11849,Marié(e),Consulting,Senior Manager,1,10,3,1,12,2.25,3.0
0,1,3,9,3,Transformation Digitale,Occasionnel,0,28,0,2070,Marié(e),Consulting,Assistant de Direction,1,5,1,0,23,3.5,3.5
0,1,5,6,4,Transformation Digitale,Occasionnel,0,37,0,6502,Marié(e),Commercial,Cadre Commercial,4,5,2,0,14,3.25,3.0
0,0,4,3,2,Transformation Digitale,Occasionnel,1,21,0,3230,Célibataire,Consulting,Assistant de Direction,1,3,1,0,17,3.0,2.5
0,2,2,1,4,Transformation Digitale,Aucun,0,37,1,13603,Divorcé(e),Consulting,Directeur Technique,2,5,3,1,18,2.25,3.0
0,1,6,22,3,Infra & Cloud,Occasionnel,6,35,1,11996,Divorcé(e),Consulting,Senior Manager,7,7,3,0,18,2.0,3.5
0,1,3,7,2,Transformation Digitale,Occasionnel,7,38,1,5605,Divorcé(e),Commercial,Cadre Commercial,1,8,2,1,24,2.0,4.0
0,1,6,1,3,Infra & Cloud,Frequent,1,26,1,6397,Divorcé(e),Consulting,Tech Lead,1,6,2,0,20,1.75,3.5
0,2,4,4,1,Infra & Cloud,Occasionnel,1,50,0,19144,Divorcé(e),Consulting,Directeur Technique,3,10,5,0,14,1.5,3.0
0,3,5,3,4,Transformation Digitale,Occasionnel,1,53,0,17584,Marié(e),Consulting,Directeur Technique,3,5,4,1,16,3.0,3.0
0,0,3,1,1,Infra & Cloud,Occasionnel,11,42,0,4907,Marié(e),Commercial,Cadre Commercial,1,20,2,0,25,2.75,3.5
0,0,3,2,2,Infra & Cloud,Frequent,0,29,0,4554,Célibataire,Commercial,Cadre Commercial,1,10,2,0,18,2.25,3.0
0,1,4,20,2,Entrepreunariat,Occasionnel,0,55,0,5415,Marié(e),Consulting,Consultant,3,10,2,1,19,3.25,3.0
0,1,3,11,2,Transformation Digitale,Frequent,3,26,0,4741,Marié(e),Consulting,Manager,1,5,2,1,13,2.0,3.0
0,0,3,1,3,Infra & Cloud,Occasionnel,5,37,1,2115,Célibataire,Consulting,Assistant de Direction,1,17,1,0,12,3.25,3.0
1,1,0,24,3,Infra & Cloud,Frequent,0,44,0,3161,Divorcé(e),Consulting,Consultant,3,1,1,1,22,3.0,3.5
0,1,2,23,4,Infra & Cloud,Occasionnel,1,38,0,5745,Divorcé(e),Consulting,Manager,9,2,2,0,14,3.25,3.0
1,1,2,16,4,Transformation Digitale,Occasionnel,0,26,0,2373,Divorcé(e),Consulting,Consultant,2,3,1,1,13,2.5,3.0
0,0,3,8,2,Infra & Cloud,Occasionnel,0,28,1,3310,Célibataire,Consulting,Assistant de Direction,1,5,1,0,21,3.75,3.5
0,0,4,10,4,Infra & Cloud,Frequent,1,49,1,18665,Célibataire,Consulting,Directeur Technique,9,3,5,1,11,2.75,3.0
0,0,2,3,3,Entrepreunariat,Occasionnel,7,36,0,4485,Célibataire,Consulting,Assistant de Direction,4,8,2,0,12,3.0,3.0
0,1,5,5,3,Marketing,Frequent,2,31,1,2789,Divorcé(e),Commercial,Représentant Commercial,1,2,1,0,11,2.75,3.0
1,0,0,4,4,Marketing,Occasionnel,7,26,0,5828,Célibataire,Commercial,Cadre Commercial,1,8,2,1,12,3.25,2.5
0,3,3,9,3,Transformation Digitale,Frequent,1,37,0,2326,Marié(e),Consulting,Assistant de Direction,1,4,1,1,12,2.75,3.0
0,1,2,26,3,Marketing,Frequent,4,42,1,13525,Marié(e),Commercial,Cadre Commercial,5,20,4,0,14,3.25,3.0
1,0,2,3,3,Infra & Cloud,Occasionnel,0,18,0,1420,Célibataire,Consulting,Consultant,1,0,1,0,13,3.0,3.0
0,2,3,16,3,Marketing,Occasionnel,6,35,0,8020,Marié(e),Commercial,Cadre Commercial,0,11,3,0,15,2.5,3.0
0,2,2,18,4,Infra & Cloud,Frequent,0,36,0,3688,Marié(e),Consulting,Consultant,4,1,1,0,18,3.5,3.5
0,1,3,2,3,Transformation Digitale,Occasionnel,1,51,0,5482,Divorcé(e),Consulting,Tech Lead,5,4,2,0,18,3.25,2.0
0,0,2,2,4,Infra & Cloud,Occasionnel,0,41,0,16015,Célibataire,Commercial,Senior Manager,1,22,4,0,19,2.75,3.0
0,0,2,10,3,Transformation Digitale,Occasionnel,0,18,1,1200,Célibataire,Commercial,Représentant Commercial,1,0,1,0,12,2.75,2.5
0,0,2,16,2,Transformation Digitale,Occasionnel,0,28,0,5661,Célibataire,Consulting,Manager,0,8,2,0,19,2.25,3.5
0,1,3,7,3,Entrepreunariat,Occasionnel,7,31,0,6929,Marié(e),Commercial,Cadre Commercial,4,8,2,0,11,2.5,3.5
0,3,5,1,3,Transformation Digitale,Occasionnel,3,39,0,9613,Divorcé(e),Consulting,Manager,0,18,3,0,17,2.5,3.5
0,1,3,24,4,Infra & Cloud,Aucun,0,36,1,5674,Marié(e),Consulting,Consultant,7,9,2,0,15,2.5,3.0
0,1,3,7,3,Infra & Cloud,Occasionnel,4,32,0,5484,Marié(e),Commercial,Cadre Commercial,1,13,2,0,14,3.0,2.5
0,1,2,25,2,Infra & Cloud,Occasionnel,0,38,1,12061,Marié(e),Consulting,Directeur Technique,3,10,3,0,17,2.25,2.5
0,1,2,1,4,Infra & Cloud,Aucun,1,58,0,5660,Divorcé(e),Consulting,Manager,2,5,2,1,13,3.5,2.0
0,1,4,5,4,Entrepreunariat,Occasionnel,0,31,0,4821,Marié(e),Consulting,Assistant de Direction,0,5,1,1,12,3.25,3.0
0,0,1,2,3,Ressources Humaines,Occasionnel,1,31,0,6410,Marié(e),Ressources Humaines,Ressources Humaines,3,2,2,0,12,2.25,2.5
0,1,2,7,3,Infra & Cloud,Frequent,9,45,0,5210,Divorcé(e),Consulting,Consultant,1,24,3,0,18,1.5,3.0
0,1,2,2,4,Infra & Cloud,Occasionnel,2,31,0,2695,Divorcé(e),Consulting,Assistant de Direction,0,2,1,1,18,2.5,3.0
0,2,2,5,4,Infra & Cloud,Frequent,8,33,1,11878,Marié(e),Consulting,Senior Manager,6,10,3,0,11,2.75,3.0
0,0,3,10,1,Transformation Digitale,Occasionnel,11,39,0,17068,Marié(e),Consulting,Senior Manager,1,21,4,1,14,2.75,3.0
0,0,5,10,4,Infra & Cloud,Frequent,1,43,1,2455,Célibataire,Consulting,Consultant,0,8,1,0,19,2.75,3.0
0,0,2,1,2,Entrepreunariat,Occasionnel,0,49,1,13964,Célibataire,Consulting,Manager,7,7,4,1,12,3.25,2.5
1,0,3,8,4,Transformation Digitale,Occasionnel,7,52,0,4941,Marié(e),Consulting,Assistant de Direction,2,8,2,0,15,2.0,2.5
0,0,2,5,3,Infra & Cloud,Occasionnel,1,27,1,2478,Célibataire,Consulting,Assistant de Direction,1,4,1,1,12,2.25,3.0
0,0,2,8,2,Entrepreunariat,Occasionnel,11,32,1,5228,Marié(e),Commercial,Cadre Commercial,1,13,2,1,11,3.0,2.5
0,0,3,2,3,Infra & Cloud,Occasionnel,0,27,0,4478,Célibataire,Commercial,Cadre Commercial,1,5,2,1,11,2.75,3.0
0,3,3,7,3,Marketing,Occasionnel,1,31,0,7547,Divorcé(e),Commercial,Cadre Commercial,4,7,2,0,12,3.75,3.0
0,0,0,2,4,Transformation Digitale,Occasionnel,0,32,1,5055,Célibataire,Consulting,Assistant de Direction,7,7,2,0,16,2.5,3.5
1,0,4,2,4,Transformation Digitale,Occasionnel,2,28,0,3464,Marié(e),Consulting,Assistant de Direction,5,3,1,1,13,2.75,2.0
0,2,2,28,2,Transformation Digitale,Occasionnel,1,30,1,5775,Marié(e),Consulting,Assistant de Direction,1,10,2,0,13,3.75,3.0
0,1,2,7,2,Infra & Cloud,Frequent,8,31,1,8943,Marié(e),Consulting,Tech Lead,1,10,3,0,24,2.5,3.0
0,1,2,7,2,Transformation Digitale,Frequent,13,39,0,19272,Marié(e),Consulting,Senior Manager,1,21,5,0,15,2.75,2.5
1,0,3,3,2,Transformation Digitale,Occasionnel,0,39,1,5238,Marié(e),Commercial,Cadre Commercial,4,1,2,1,18,2.5,3.0
0,0,6,10,3,Marketing,Frequent,0,33,0,4682,Célibataire,Commercial,Cadre Commercial,3,7,2,0,14,2.75,2.5
0,1,2,5,5,Infra & Cloud,Occasionnel,1,47,0,18300,Marié(e),Consulting,Directeur Technique,4,3,5,0,11,3.0,3.0
0,1,3,10,4,Infra & Cloud,Frequent,0,43,1,5257,Divorcé(e),Consulting,Consultant,1,9,2,0,11,3.0,2.5
0,1,0,1,1,Marketing,Aucun,1,27,0,6349,Marié(e),Commercial,Cadre Commercial,0,5,2,1,13,3.0,3.0
0,0,4,20,4,Infra & Cloud,Frequent,0,54,1,4869,Célibataire,Consulting,Assistant de Direction,3,4,2,0,12,3.25,3.0
0,1,1,7,3,Infra & Cloud,Occasionnel,0,43,1,9985,Marié(e),Consulting,Manager,8,1,3,0,16,1.75,3.0
0,2,3,8,4,Autre,Occasionnel,9,45,0,3697,Marié(e),Consulting,Assistant de Direction,9,10,2,0,14,3.0,3.0
0,3,2,1,2,Transformation Digitale,Occasionnel,0,40,0,7457,Marié(e),Commercial,Cadre Commercial,2,4,2,1,22,2.75,2.5
1,0,4,8,4,Autre,Occasionnel,0,29,0,2119,Marié(e),Consulting,Consultant,1,7,1,1,11,2.25,2.0
0,0,2,9,5,Autre,Occasionnel,2,29,0,3983,Célibataire,Consulting,Consultant,0,3,1,0,17,3.0,2.5
0,3,2,5,3,Marketing,Occasionnel,1,30,1,6118,Divorcé(e),Commercial,Cadre Commercial,1,10,2,0,13,3.25,2.5
0,1,3,8,4,Marketing,Occasionnel,0,27,1,6214,Marié(e),Commercial,Cadre Commercial,1,8,2,0,18,2.0,3.0
0,2,2,5,2,Transformation Digitale,Occasionnel,0,37,0,6347,Divorcé(e),Consulting,Tech Lead,7,6,2,0,16,3.25,3.0
0,1,3,15,2,Infra & Cloud,Occasionnel,2,38,0,11510,Divorcé(e),Consulting,Directeur Technique,0,11,3,1,14,3.0,2.5
0,0,2,7,4,Transformation Digitale,Occasionnel,4,31,1,7143,Célibataire,Consulting,Tech Lead,1,11,3,1,14,3.0,3.0
0,2,2,10,1,Marketing,Occasionnel,1,29,1,8268,Divorcé(e),Commercial,Cadre Commercial,1,7,2,1,14,2.5,2.5
0,0,5,5,4,Entrepreunariat,Occasionnel,0,35,0,8095,Célibataire,Consulting,Tech Lead,0,16,3,0,13,3.0,3.0
0,2,2,26,1,Infra & Cloud,Occasionnel,0,23,0,2904,Divorcé(e),Consulting,Assistant de Direction,1,4,1,0,12,3.0,3.0
0,0,3,6,3,Transformation Digitale,Occasionnel,1,41,0,6032,Célibataire,Consulting,Tech Lead,6,5,2,1,15,3.25,2.5
0,0,3,4,1,Transformation Digitale,Frequent,0,47,0,2976,Célibataire,Commercial,Représentant Commercial,3,0,2,0,19,2.25,3.0
0,0,2,23,5,Infra & Cloud,Occasionnel,0,42,1,15992,Célibataire,Consulting,Directeur Technique,2,1,4,0,14,2.5,3.0
0,1,3,2,3,Infra & Cloud,Aucun,0,29,0,4649,Marié(e),Commercial,Cadre Commercial,1,4,2,0,14,2.5,3.0
0,1,5,2,1,Entrepreunariat,Occasionnel,1,42,0,2696,Divorcé(e),Ressources Humaines,Ressources Humaines,0,3,1,1,11,3.0,3.0
0,1,4,2,3,Transformation Digitale,Occasionnel,0,32,1,2370,Marié(e),Consulting,Consultant,1,8,1,0,13,2.75,3.0
0,1,3,29,1,Transformation Digitale,Occasionnel,0,48,1,12504,Marié(e),Commercial,Senior Manager,3,0,3,0,21,1.75,3.5
0,2,2,6,3,Transformation Digitale,Occasionnel,6,37,0,5974,Divorcé(e),Consulting,Assistant de Direction,4,7,2,1,13,2.0,3.5
0,1,2,25,2,Entrepreunariat,Aucun,2,30,1,4736,Marié(e),Commercial,Cadre Commercial,7,2,2,1,12,3.25,3.0
0,1,3,1,3,Infra & Cloud,Occasionnel,7,26,0,5296,Marié(e),Commercial,Cadre Commercial,1,8,2,0,17,2.75,3.0
0,0,6,2,4,Autre,Occasionnel,0,42,0,6781,Célibataire,Consulting,Manager,3,1,2,0,23,2.5,3.0
1,0,3,1,1,Entrepreunariat,Frequent,1,21,1,2174,Célibataire,Commercial,Représentant Commercial,1,3,1,1,11,2.25,2.5
0,0,6,1,5,Transformation Digitale,Aucun,0,36,1,6653,Célibataire,Commercial,Cadre Commercial,4,1,2,0,15,3.25,3.0
0,1,2,3,4,Transformation Digitale,Frequent,1,36,0,9699,Marié(e),Commercial,Cadre Commercial,4,13,3,0,11,2.25,2.5
0,0,2,1,4,Transformation Digitale,Occasionnel,1,57,0,6755,Marié(e),Consulting,Manager,2,3,2,0,11,3.25,3.0
0,1,3,10,4,Infra & Cloud,Occasionnel,1,40,1,2213,Marié(e),Consulting,Consultant,3,7,1,1,13,3.25,3.5
0,0,3,9,2,Transformation Digitale,Aucun,2,21,0,2610,Célibataire,Commercial,Représentant Commercial,1,3,1,0,24,2.5,3.5
1,0,2,5,3,Marketing,Occasionnel,0,33,1,2851,Célibataire,Commercial,Représentant Commercial,1,1,1,1,13,3.0,3.0
0,1,3,10,3,Transformation Digitale,Occasionnel,0,37,1,3452,Marié(e),Consulting,Consultant,6,5,1,0,20,2.25,3.5
0,0,2,7,4,Transformation Digitale,Aucun,0,46,1,5258,Marié(e),Consulting,Tech Lead,2,1,2,0,14,3.25,3.0
1,0,5,4,3,Marketing,Frequent,7,41,0,9355,Célibataire,Commercial,Cadre Commercial,1,8,2,0,18,2.25,3.0
0,0,2,10,3,Entrepreunariat,Occasionnel,1,50,0,10496,Célibataire,Consulting,Manager,6,4,3,0,15,3.75,2.5
1,2,6,22,2,Marketing,Occasionnel,1,40,0,6380,Marié(e),Commercial,Cadre Commercial,2,6,2,1,12,2.5,2.5
0,0,5,9,4,Infra & Cloud,Occasionnel,2,31,0,2657,Célibataire,Consulting,Assistant de Direction,0,2,1,1,16,3.0,2.5
1,0,0,12,3,Infra & Cloud,Occasionnel,0,21,1,2716,Célibataire,Commercial,Représentant Commercial,1,1,1,0,15,3.0,3.5
0,0,4,23,3,Infra & Cloud,Occasionnel,1,29,0,2201,Célibataire,Consulting,Assistant de Direction,9,3,1,0,16,3.75,3.0
0,0,5,9,4,Infra & Cloud,Occasionnel,0,35,0,6540,Célibataire,Consulting,Manager,9,1,2,0,19,2.75,2.5
0,1,2,1,2,Transformation Digitale,Occasionnel,0,27,0,3816,Divorcé(e),Consulting,Consultant,1,5,1,0,11,2.75,3.0
0,0,1,9,4,Infra & Cloud,Occasionnel,0,28,0,5253,Célibataire,Commercial,Cadre Commercial,1,7,2,0,16,3.25,3.0
0,0,2,7,3,Autre,Occasionnel,0,49,0,10965,Célibataire,Consulting,Manager,8,5,3,0,24,2.75,3.0
0,1,2,14,2,Infra & Cloud,Occasionnel,0,51,1,4936,Marié(e),Commercial,Cadre Commercial,4,7,2,0,11,3.0,3.0
0,1,3,2,3,Infra & Cloud,Occasionnel,2,36,1,2543,Marié(e),Consulting,Assistant de Direction,4,2,1,0,13,3.0,3.0
1,0,3,19,3,Marketing,Aucun,0,34,0,5304,Célibataire,Commercial,Cadre Commercial,8,5,2,1,13,2.25,3.5
0,0,2,2,3,Infra & Cloud,Occasionnel,1,55,1,16659,Célibataire,Consulting,Senior Manager,2,5,4,1,13,3.25,3.0
0,1,2,10,4,Marketing,Occasionnel,0,24,1,4260,Divorcé(e),Commercial,Cadre Commercial,1,5,2,1,12,3.75,3.0
0,1,3,2,1,Entrepreunariat,Occasionnel,0,30,0,2476,Marié(e),Commercial,Représentant Commercial,1,1,1,0,18,2.25,3.0
1,0,2,3,1,Entrepreunariat,Frequent,0,26,0,3102,Célibataire,Consulting,Assistant de Direction,0,6,1,0,22,2.5,3.5
0,1,1,11,3,Transformation Digitale,Occasionnel,1,22,1,2244,Marié(e),Consulting,Assistant de Direction,1,2,1,0,13,2.5,3.0
0,2,2,2,2,Transformation Digitale,Occasionnel,9,36,0,7596,Marié(e),Commercial,Cadre Commercial,1,10,3,0,13,2.5,2.5
1,0,4,4,3,Entrepreunariat,Frequent,0,30,0,2285,Célibataire,Consulting,Assistant de Direction,9,1,1,1,23,3.25,3.5
0,1,2,14,3,Infra & Cloud,Occasionnel,12,37,1,3034,Divorcé(e),Consulting,Consultant,1,18,1,0,12,2.5,3.0
